English,Transliteration,Hebrew
the dark,ha'afel,האפל
the spelling,haktiv,הכתיב
dictated (m.s.),hikhtiv,הכתיב
the photographs,hatsilumim,הצילומים
the said,hane'emar,הנאמר
directed,biyem,ביים
from the tribe of,mishevet,משבט
his friend,yedido,ידידו
taught,limed,לימד
his call,kri'ato,קריאתו
the watching / the observation,hatsfiya,הצפייה
symbolism,simliyut,סמליות
literary,safrutit,ספרותית
developing,mitpate'akh,מתפתח
subsistence / livelihood,mikhya,מחיה
to an attitude / for an access / to an approach,legisha,לגישה
to the attitude / for the access / to the approach,lagisha,לגישה
the compositor / the composer,hamalkhin,המלחין
the physicist,hafizikai,הפיזיקאי
the effects,hahashpa'ot,ההשפעות
[in] a fact,be'uvda,בעובדה
[in] the fact,ba'uvda,בעובדה
produces (m.s.),meyatser,מייצר
to teach,lelamed,ללמד
into a shape of / to a shape of,letsurat,לצורת
the fields / the areas / the ranges,hatkhumim,התחומים
in a plot / [in] a deed / [in] a libel / [in] a false charge,be'alila,בעלילה
in the plot / [in] the deed / [in] the libel / [in] the false charge,ba'alila,בעלילה
claims / argues / charges / loads (f.s.),to'enet,טוענת
hold / fulfill / carry out / maintain (m.pl.),mekaymim,מקיימים
producers,mefikim (n.),מפיקים
produce (m.pl.),mefikim (v.),מפיקים
and in cases,uvemikrim,ובמקרים
the processes,hatahalikhim,התהליכים
the journalists,ha'itona'im,העיתונאים
that passes / that transfers (m.s.),ha'over,העובר
the embryo / the fetus,ha'ubar,העובר
from a Eucalyptus,me'ekaliptus,מאקליפטוס
from the area / from the enviroonment,mehasviva,מהסביבה
to oxidize,lekhamtsen,לחמצן
its fruit,pirya,פריה
oxidation,khimtsun,חמצון
fist,egrof,אגרוף
boxing,igruf,אגרוף
the tasks / the assignments / the missions,hamesimot,המשימות
the variety / the diversity,hamigvan,המגוון
the varied / the diverse,hameguvan,המגוון
the test tube,hamavkhena,המבחנה
the hammer,hapatish,הפטיש
the secession / the retirement,haprisha,הפרישה
the spreading / the stretching,haprisa,הפרישה
the prosaic,haprozait,הפרוזאית
the vulture,hanesher,הנשר
in protein,bekhelbon,בחלבון
in the protein,bakhelbon,בחלבון
in acids,bekhumtsot,בחומצות
takes revenge (f.s.),nokemet,נוקמת
from an end,mikatse,מקצה
heat (sport),miktse,מקצה
jute,yuta,יוטה
sends (m.s.),shole'akh,שולח
his achievements,hesegav,הישגיו
fringes,gdilim,גדילים
centimeter,sentimeter,סנטימטר
creators / artists / makers (f.),yotsrot,יוצרות
changes of,shinuyei,שינויי
the immune,hakhisunit,החיסונית
liquid,nozli,נוזלי
muscles of,shrirei,שרירי
my muscles,shrirai,שרירי
in the atmosphere,ba'atmosfera,באטמוספירה
to/for estrogen,le'estrogen,לאסטרוגן
eating of,akhilat,אכילת
the seaweed,ha'atsot,האצות
the thumb / the big toe,habohen,הבוהן
in the corals,ba'almogim,באלמוגים
in corals,be'almogim,באלמוגים
to/for a kitchen,lemitbakh,למטבח
to/for the kitchen,lamitbakh,למטבח
pyramids,piramidot,פירמידות
speaks / talks (f.s.),medaberet,מדברת
to the police,lamishtara,למשטרה
to eat,le'ekhol,לאכל
to corrode,le'akel,לאכל
piece of bread / bread,pat,פת
eating (f.s.),okhelet,אוכלת
the indictment / the accusation,ha'ishum,האישום
I arrived,higati,הגעתי
my arrival,haga'ati,הגעתי
sadly / with sorrow / [in] a nerve,be'etsev,בעצב
[in] the sadness / [in] the nerve,ba'etsev,בעצב
in the dark,bakhashekha,בחשכה
handsome / nice (m.pl.),na'im,נאים
is needed / is required,nakhuts,נחוץ
understands (f.s.),mevina,מבינה
for a winter,lekhoref,לחורף
for the winter,lakhoref,לחורף
[to] here,lekhan,לכאן
you will find (m.s.) / she will find,timtsa,תמצא
will be found (f.s.),timatse,תמצא
and once / and at one time,ufa'am,ופעם
and walked / and went (f.s.),vehalkha,והלכה
and the Jewish law,vehalakha,והלכה
noise,sha'on,שאון
that even / that although,she'afilu,שאפילו
that everything,shehakol,שהכל
on you / about you (m.pl.),aleykhem,עליכם
erect / upright,zakuf,זקוף
ate (m.s.),akhal,אכל
the windows,hakhalonot,החלונות
grass,deshe,דשא
humbly / submissively,behakhna'a,בהכנעה
created,nivra,נברא
were filled / were completed,mal'u,מלאו
adds (m.s.),mosif,מוסיף
searches (f.s.),mekhapeset,מחפשת
to the great,lemarbe,למרבה
to hang / to suspend,litlot,לתלות
to lift,leharim,להרים
to modify / to sit at ease / to endorse,lehasev,להסב
you will come (m.s.) / she will come,tavo,תבוא
and strong / and strongly,vekhazak,וחזק
and returned / and repeated (pl.),vekhzru,וחזרו
and good,vetov,וטוב
and told (m.s.) / and cut (hair),vesiper,וסיפר
and carried / and married (m.s.),venasa,ונשא
that/who wanted (pl.) / that they wanted,sheratsu,שרצו
cows,parot,פרות
top / peak / summit,pisgat,פסגת
woke / have excited (pl.),oreru,עוררו
the shine of,zrikhat,זריחת
diligent,kharuts,חרוץ
as usual,keragil,כרגיל
the ceiling,hatikra,התקרה
surprise,hafta'a,הפתעה
the walk,hahalikha,ההליכה
the alleviations,hahakalot,ההקלות
the usual (f.s.),haregila,הרגילה
the autumn,hastav,הסתיו
thief (m.s.),ganav (n.),גנב
stole (m.s.),ganav (v.),גנב
in the morning,baboker,בבקר
in cattle,bebakar,בבקר
mean / evil,rasha (adj.),רשע
evil,resha (n.),רשע
are sold,nimkarim,נמכרים
sounded (f.s.),nishme'a,נשמעה
drove / traveled (pl.),nas'u,נסעו
moves / steps / distances,mahalakhim,מהלכים
will continue (m.s.),yamshikh,ימשיך
will stay / will remain / will be left (pl.),yisha'aru,יישארו
to/for an office / to/for a bureau / to/for a Ministry,lemisrad,למשרד
to/for the office / to/for the bureau / to/for the Ministry,lamisrad,למשרד
to/for a voice / to the sound of,lekol,לקול
to continue / to be pulled / to be attracted,lehimashekh,להימשך
to hide,lehitkhabe,להתחבא
to leave,lehash'ir,להשאיר
to its end,lesiyumo,לסיומו
she will stay / you will stay (m.s.),tisha'er,תישאר
and fat (adj.) (m.s.),veshamen,ושמן
and their name (f.pl.),ushman,ושמן
and walked / and went (m.s.),vehalakh,והלך
and on [day],uveyom,וביום
and on the way,uvaderekh,ובדרך
and in a way,uvederekh,ובדרך
praised (m.s.),shibe'akh,שיבח
branches / extensions,shlukhot,שלוחות
black (f.pl.),skhorot,שחורות
that thought (pl.),shekhashvu,שחשבו
graves,kvarim,קברים
answer (f.s. imperative),ani,עני
seal,khotam,חותם
eating (m.pl.),okhlim,אוכלים
festive (m.pl.),khagigiyim,חגיגיים
bowed / bent / subordinate (m.s.),kafuf,כפוף
was removed,husar,הוסר
the extreme / the extremist / the radical (m.s.),hakitsoni,הקיצוני
the close / the relatives (f.pl.),hakrovot,הקרובות
the eyes,ha'eynayim,העיניים
necessary,hekhrekhi,הכרחי
steering wheel / sound / word,hege,הגה
thought / meditated / pronounced (m.s.),haga,הגה
the steps,hatse'adim,הצעדים
reservations,histayguyot,הסתייגויות
spoke / talked (f.s.),dibra,דיברה
in search,bekhipus,בחיפוש
in the search,bakhipus,בחיפוש
in which / in what (f.),be'eizo,באיזו
in basketball,bekadursal,בכדורסל
under the assumption / on sale,behanakha,בהנחה
seriously,birtsinut,ברצינות
soft (f.s.),raka,רכה
need (f.pl.),tsrikhot,צריכות
merchant / dealer / seller,sokher,סוחר
touches (m.s.),noge'a,נוגע
awful / terrible (f.s.),nora'a,נוראה
escorts,melavim (n.),מלווים
escort (m.pl.),melavim (v.),מלווים
creditors,malvim,מלווים
aware (f.s.),muda'at,מודעת
uses / user (f.s.),mishtameshet,משתמשת
party / feast,mishte,משתה
their place,mekomam,מקומם
causes to rebel,mekomem,מקומם
hopes (m.s.),mekave,מקווה
mikveh,mikve,מקווה
luxurious,mefo'ar,מפואר
their position / their status / their class,ma'amadam,מעמדם
from the same (m.pl.),me'otam,מאותם
from people,me'anashim,מאנשים
from a square,mikikar,מכיכר
more than required,mikdei,מכדי
from the kind / from the species / from the gender / from the sex,mehamin,מהמין
ask / request / want (m.pl.),mevakshim,מבקשים
cure,marpe,מרפא
cures (m.s.),merape,מרפא
marine (f.s.),yamit (adj.),ימית
his relations,yakhasav,יחסיו
went down / came down / descended / decreased (f.s.),yarda,ירדה
to/for a regime / to/for a reign,lemishtar,למשטר
to/for the regime / to/for the reign,lamishtar,למשטר
for her,lema'ana,למענה
for the goal of,lematrat,למטרת
to tie / to bond / to link,likshor,לקשור
according to them,lefihem,לפיהם
to/for a hit / to/for an impact / to/for a damage / to/for an offense,lepgi'a,לפגיעה
to/for the hit / to/for the impact / to/for the damage / to/for the offense,lapgi'a,לפגיעה
to mimic,lekhakot,לחקות
to collect / to accumulate,le'egor,לאגור
to the works of (books),lakhitvei,לכתבי
to compare,lehashvot,להשוות
to drop / to have an abortion,lehapil,להפיל
vice versa,lehefekh,להפך
to sail,lehaflig,להפליג
to reduce,lehafkhit,להפחית
lest,leval,לבל
to the net / to inherit,lareshet,לרשת
to obey,letsayet,לציית
to block / to plug,listom,לסתום
to a harbor,lenamal,לנמל
to the harbor,lanamal,לנמל
his support,tmikhato,תמיכתו
answers / replies / returns / repentance,tshuvot,תשובות
channels / canals / trenches,te'alot,תעלות
preparation,takhshir,תכשירים
and can (m.s.),veyakhol,ויכול
and to invert / and to convert / and to turn / and to become / and to transform,velahafokh,ולהפוך
and after [time period],veka'avor,וכעבור
and instead / and in place of,uvimkom,ובמקום
and at /in the place,uvamakom,ובמקום
were glad / were happy,samkhu,שמחו
paid (m.s.),shilem,שילם
drank (pl.),shatu,שתו
rose of,shoshanat,שושנת
lies,shkarim,שקרים
the/who woke / that/who has excited,she'orer,שעורר
erroneous / wrong / incorrect,shagui,שגוי
that for a duration of,shebemeshekh,שבמשך
that in case / that accidentally,shebemikre,שבמקרה
that is inside him/it,shebetokho,שבתוכו
which most,sherov,שרוב
that/who carried / who married (pl.),shenas'u,שנשאו
lines,kavim,קווים
was developed,putkha,פותחה
hit / damage / offensive (m.pl.),pog'im,פוגעים
hostile,oyenim,עוינים
editors of / arrangers of (m.pl.),orkhei,עורכי
pleasant,areva (adj.),ערבה
surety (f.s.),areva (n.),ערבה
was pleasant,arva,ערבה
real (m.pl.),amitiyim,אמיתיים
enemies,oyvim,אויבים
angle / corner,zavit,זווית
sense,khush,חוש
wire,khut,חוט
suspicions,khashadot,חשדות
flew (pl.),zarmu,זרמו
Antisemitism,antishemiyut,אנטישמיות
cover,kisui,כיסוי
failed (pl.),kashlu,כשלו
pains of,ke'evei,כאבי
financial / monetary / my money,kaspi,כספי
the fast / the rapid / the quick (m.s.),hamahir,המהיר
the right,hayamin,הימין
the departing / the leaving,hayots'im,היוצאים
the straight (m.s.),hayashar,הישר
complained (m.s.),hitlonen,התלונן
the character / the attribute / the commotion,hatkhuna,התכונה
was dedicated to / was devoted,hukdash,הוקדש
was recognized,hukra,הוכרה
were led / were transported (pl.),huvlu,הובלו
the questions,hashe'elot,השאלות
landings,hash'alot,השאלות
the ancient / the old (m.pl.),ha'atikim,העתיקים
the principles,ha'ekronot,העקרונות
his decision,hakhlatato,החלטתו
the month / this month,hakhodesh,החודש
the red (f.s.),ha'aduma,האדומה
the foreign / the strangers (f.),hazarot,הזרות
the strangeness,hazarut,הזרות
the pocket,hakis,הכיס
the rules,haklalim,הכללים
the imprisoned (m.pl.),haklu'im,הכלואים
stressed / emphasized (m.s.),hidgish,הדגיש
the rains,hagshamim,הגשמים
the rich man / the lord,hagvir,הגביר
increased / amplified / strengthened (pl.),higbir,הגביר
the back,hagav,הגב
understood (f.s.),hevina,הבינה
the impression,haroshem (n.),הרושם
that/who writes (m.s.),haroshem (v.),הרושם
the marking / the pointing out / the grade,hatsiyun,הציון
print / pattern,dfus,דפוס
in an economy / in a farm,bemeshek,במשק
from the depth of,mema'amkei,במעמקי
at his state / in his situation,bematsavo,במצבו
on Saturdays,beshabatot,בשבתות
on Saturdays,bashabatot,בשבתות
on the [X] floor / at a height [of],bekoma,בקומה
on reception of,bekabalat,בקבלת
for,ba'avur,בעבור
in a quality,be'eikhut,באיכות
in the quality,ba'eikhut,באיכות
in part / in their part / [in] their share,bekhelkam,בחלקם
during the holiday,bekhag,בחג
chose / selected / voted (f.s.),bakhra,בחרה
under an order,behora'a,בהוראה
drops,tipot,טיפות
her nature,tiv'a,טבעה
drowned (f.s.),tav'a,טבעה
medical (m.s.),refu'i,רפואי
fought (pl.),ravu,רבו
his rabbi / his teacher,rabo,רבו
sorrow / grief,tsa'ar,צער
painted (pl.),tsav'u,צבעו
his/its color,tsiv'o,צבעו
narrow / enemies / lay siege to / created / shaped (m.pl.),tsarim,צרים
doubts,sfekot,ספקות
was sold (m.s.),nimkar,נמכר
vigorous / energetic / lively (f.pl.),nimratsot,נמרצות
loyal,ne'eman,נאמן
snakes,nekhashim,נחשים
enters (f.s.),nikhneset,נכנסת
against her,negda,נגדה
the teams / the elected / the selected (f.pl.),hanivkharot,נבחרות
observers,mashkifim,משקיפים
mutinies,meridot,מרידות
to/for an advance / to/for a progress,lehitkadmut,להתקדמות
to/for the advance / to/for the progress,lahitkadmut,להתקדמות
surrounding / besetment,kitur,כיתור
the procedures / the proceedings,hahalikhim,ההליכים
diversion / distraction,hasakha,הסחה
gravestone of / establishment / strength (of an army unit),matsevet,מצבת
graves of,kivrei,קברי
copy,otek,עותק
ignored,hit'alem,התעלם
were destroyed / were exterminated (pl.),hushmedu,הושמדו
was occupied (m.s.),nikhbash,נכבש
machine gun,mikla,מקלע
his goal / his target,matrato,מטרתו
his rivals / his opponents / his enemies,yerivav,יריביו
to claim / to argue,lit'on,לטעון
and found (m.s.),umatsa,ומצא
and the war,vehamilkhama,והמלחמה
and was replaced,vehukhlaf,והוחלף
that were posted / that were placed,shehutsvu,שהוצבו
that was known (m.s.),shenoda,שנודעו
extreme (m.pl.),kitsonim (adj.),קיצונים
extremists / radicals (m.pl.),kitsonim (n.),קיצונים
his traces / his footprints,ikvotav,עקבותיו
supposed (f.pl.),amurot,אמורות
his nephew,akhyano,אחיינו
his failure,kishlono,כישלונו
the planned (f.s.),hametukhnenet,המתוכננת
the educated / the scholars,hamaskilim,המשכילים
the original (f.pl.),hamekoriyot,המקוריות
the obstacle / the hurdle,hamikhshol,המכשול
the leaders,hamanhigim,המנהיגים
achievements,hesegim,הישגים
the continental / the terrestrial,hayabashti,היבשתי
the produce / the output,hatotseret,התוצרת
fits (cloth) / appropriate,holem,הולם
took control (pl.),hishtaltu,השתלטו
the punishment,ha'onesh,העונש
the legal (f.s.),hakhukit,החוקית
proclaimed / announced / declared (pl.),hikhrizu,הכריזו
increased / amplified / strengthened (pl.),higbiru,הגבירו
required / demanded (f.s.),darsha,דרשה
hastily,bekhofza,בחופזה
his/its end,sofo,סופו
took (action / step) (pl.),naktu,נקטו
scholars,melumadim,מלומדים
resists / objects (m.s.),mitnaged,מתנגד
explicit,meforeshet,מפורשת
refused (m.s.),me'en,מאן
fast / rapid / quick (m.pl.),mehirim,מהירים
from the ship,mehasfina,מהספינה
engineer,mehandes,מהנדס
impressive (m.pl.),marshimim,מרשימים
natives of,yelidei,ילידי
to incarceration,le'ma'asar,למאסר
to the incarceration,la'ma'asar,למאסר
to/for an attacker,letokef,לתוקף
to/for the attacker,latokef,לתוקף
valid from / effective from,[nikhnas] letokef,לתוקף
to/for the rest,lash'ar,לשאר
to/for the same,le'oto,לאותו
to a meeting,le'asefa,לאספה
to the meeting,la'asefa,לאספה
its results / its consequences (f.s.),tots'oteha,תוצאותיה
donated / contributed (pl.),tarmu,תרמו
and to receive / and to accept,ulkabel,ולקבל
and according to,uldivrei,ולדברי
and operated / and acted,ufa'alu,ופעלו
and art,ve'omanut,ואמנות
and lack / and deficiency / and shortage / and deficit,vekhoser,וחוסר
and in the north,uvatsafon,ובצפון
and as opposed to / and contrary to,uvenigud,ובניגוד
relevance / relation / ownership,shayakhut,שייכות
that more,sheyoter,שיותר
reflected,shikfu,שיקפו
sinking / decline / sunset,shki'a,שקיעה
burned (pl.),sarfu,שרפו
very small amount,koret,קורט
divided / distributed (m.s.),khilek,חילק
shares / disagrees (m.s.),kholek,חולק
forbade / imprisoned (m.s.),asar,אסר
the royal (f.s.),hamalkhutit,המלכותית
the office / the bureau / the Ministry,hamisrad,המשרד
the district,hamakhoz,המחוז
the journeys,hamasa'ot,המסעות
the formations / the creations / the making / the works of art / the compositions,hayetsirot,היצירות
got married (m.s.),hitkhaten,התחתן
you spent / you took out / you published (m.pl.),hotsetem,הוצאתם
destroyed / exterinated (pl.),hishmidu,השמידו
the conservatives,hashamranim,השמרנים
raised / increased / lifted / brought up (f.s.),he'elta,העלתה
the prospective / the futuristic (m.s.),ha'atidi,העתידי
the strategic (m.s.),ha'estrategi,האסטרטגי
the organization (getting organized),hahit'argenut,ההתארגנות
the immigration of,hagirat,הגירת
differences of,hevdelei,הבדלי
flooding / flotation,hatsafa,הצפה
in a crisis,bemashber,במשבר
in the crisis,bamashber,במשבר
explicitly,bimforash,במפורש
under siege,bematsor,במצור
during the siege,bamatsor,במצור
clothing,bigud,ביגוד
in a breakthrough / in a burglary / in an irruption,bifritsa,בפריצה
in the breakthrough / in the burglary / in the irruption,bapritsa,בפריצה
violently,be'alimut,באלימות
cruelly / viciously,be'akhzariyut,באכזריות
in economy,bekalkala,בכלכלה
[in] expenses / in editions / in publishing houses,behotsa'ot,בהוצאות
cross,tslav,צלב
junction,tsomet,צומת
is prevented / abstains (f.s.),nimna'at,נמנעת
were buried,nikberu,נקברו
rivers,naharot,נהרות
against them,negdam,נגדם
kingdoms,mamlakhot,ממלכות
their death,motam,מותם
luxury,motarot,מותרות
early / preliminary (f.pl.),mukdamot,מוקדמות
council,mo'etsa,מועצה
complete (m.pl.),mashlimim,משלימים
his/its weight,mishkalo,משקלו
excellent,me'ule,מעולה
renewed,mekhudash,מחודש
obstacle / hurdle,mikhshol,מכשול
from the word,mehamila,מהמילה
from the population,meha'ukhlusiya,מהאוכלוסייה
far away / lengths,merkhakim,מרחקים
leadership,manhigut,מנהיגות
her relations,yakhaseha,יחסיה
to/for the crisis,lamshber,למשבר
to/for a crisis,lemashber,למשבר
to/for the improvement,lashipur,לשיפור
to/for an improvement,leshipur,לשיפור
to/for the minister,lasar,לשר
to/for a minister,lesar,לשר
to meet,lifgosh,לפגוש
for stopping of / for the stopping of / for the cease of,le'atsirat,לעצירת
to church,leknesiya,לכנסייה
to the church,laknesiya,לכנסייה
to the capital of,lebirat,לבירת
to/for authors,lesofrim,לסופרים
to/for the authors,lasofrim,לסופרים
and vegetables,viyrakot,וירקות
volcanic,vulkani,וולקני
and use,veshimush,ושימוש
and due to / and because of,ve'ekev,ועקב
and followed (m.s.),ve'akav,ועקב
and a heel,ve'akev,ועקב
and passed / and crossed / and went through (pl.),ve'avru,ועברו
and was built,venivna,ונבנה
and we will build,venivne,ונבנה
that is behind,sheme'akhorei,שמאחורי
that is behind me,sheme'akhorai,שמאחורי
that/who lived / that/who dwelt (f.s.),sheshakhna,ששכנה
that a neighbor (f.s.),sheshkhena,ששכנה
that/who stood up / that/who woke up / that were established,shekamu,שקמו
that happened / that occurred (m.s.),she'era,שאירע
that/who thought / that/who assumed (pl.),shesavru,שסברו
who phrased,shenisakh,שניסח
refugees / survivors (m.pl.),plitim,פליטים
wonder / miracle,pele,פלא
steel,plada,פלדה
public / overt (f.s.),pumbit,פומבית
fertile / productive,pore,פורה
coal,pekham,פחם
channel,aruts,ערוץ
stopped / arrested (m.s.),atsar,עצר
faith / confidence,emunim,אמונים
trained (m.pl.),amunim,אמונים
emergency,kherum,חירום
population,ukhlusin,אוכלוסין
brigades / sections,khativot,חטיבות
clergy,kmura,כמורה
as a teacher (m.s.),kemore,כמורה
as a teacher (f.s.),kemora,כמורה
yarmulke / cap / dome,kipat,כיפת
the same way as / as the way / as the road,kederekh,כדרך
as a rabbi,kerav,כרב
the suitable / the appropriate / the applicable / the identical (f.s.),hamat'ima,המתאימה
the modern (f.pl.),hamoderniyot modernism,המודרניות
the modernism,hamoderniyut,המודרניות
that effects / that influences (m.s.),hamashpi'a,המשפיע
the meeting / the encounter / the reunion,hamifgash,המפגש
the believers,hama'aminim,המאמינים
the theories,hate'oryot,התאוריות
were inserted / were entered,hukhnesu,הוכנסו
were cast / were thrown,hutlu,הוטלו
expenses / editions / publishing houses,hotsa'ot,הוצאות
the service,hasherut,השירות
stance / point of view / looking,hashkafa,השקפה
surrounding / encircling,hakafa,הקפה
the ancient (f.pl.),hakdumot,הקדומות
the means / the middle,ha'emtsa'im,האמצעים
The characteristic (m.pl.),ha'ofyaniyim,האופייניים
the strong (m.pl.),hakhazakim,החזקים
the association,ha'aguda,האגודה
the lake,ha'agam,האגם
decided / subdued (m.s.),hikhri'a,הכריע
the mail,hado'ar,הדואר
gradual (m.s.),hadragati,הדרגתי
his arrival,haga'ato,הגעתו
restriction of / limitation of,hagbalat,הגבלות
the medical (f.pl.),harefu'iyot,הרפואיות
civilization,hatsivilizatsya,הציוויליזציה
ended (pl.),histaymu,הסתיימו
the required (m.s.),hanidrash,הנדרש
my judgment / my sentence / my law,dini,דיני
laws of,dinei,דיני
hills,gva'ot,גבעות
under arrest,bema'atsar,במעצר
with an effort,bema'amats,במאמץ
in buildings / in constructions,bemivnim,במבנים
in the buildings / in the constructions,bamivnim,במבנים
in its framework,bemisgarto,במסגרתו
in his diary,beyomano,ביומנו
in our day,beyomenu,ביומנו
between them (m.),beynam,בינם
at his/its top / at his/its peak,besi'o,בשיאו
in the languages / on the edges,basafot,בשפות
in languages / on edges,besafot,בשפות
in the languages of / on the edges of,bisfot,בשפות
in the union,ba'ikhud,באיחוד
in a union,be'ikhud,באיחוד
slowly,be'itiyut,באיטיות
secure / safe / certain (m.pl.),betukhim,בטוחים
dense / crowded,bitsfifut,בצפיפות
characteristic,tipusi,טיפוסי
purification,tihur,טיהור
natural (f.pl.),tiv'iyot,טבעיות
fresh,triyim,טריים
tropical (m.s.),tropiyim,טרופיים
marriage,nisu'in,נישואין
authorized,musmakhim,מוסמכים
from a harbor,minamal,מנמל
pay back / recompense,tagmul,תגמול
I will remember,ezkor,אזכור
reference / mention,izkur,אזכור
the headquarters,hamifkada,המפקדה
the maximal,hameravi,המרבי
loan,halva'a,הלוואה
the temporary,hzmanit,הזמנית
the Zionists (m.pl.),hatsiyonim (n.),הציונים
the Zionist (m.pl.),hatsiyonim (adj.),הציונים
by the train / on the train,barakevet,ברכבת
by train / on a train,berakevet,ברכבת
brain,mo'akh,מח
their exit,yesti'atam,יציאתם
detailing,perut,פירוט
pleasant / nice,khaviv,חביב
as accepted / as conventional,kamekubal,כמקובל
leadership,hanhaga,הנהגה
average (f.s.),memutsa'at,ממוצעת
parallel (m.pl.),makbilim,מקבילים
detailed (m.pl.),meforatim,מפורטים
department / compartment / branch,mador,מדור
guides / instructors / trainers,madrikhim,מדריכים
from a lump / from a block / from a mass /from a region,megush,מגוש
and an organization (n.),ve'irgun,וארגון
and the organization of (v.),ve'irgun,וארגון
and while / and during,uvizman,ובזמן
that according to,shelefi,שלפי
rules / controls (f.s.),sholetet,שולטת
robbery,shod,שוד
groups (mil.) / division (family),palgot,פלגות
courage,omets,אומץ
associations,agudot,אגודות
chemical (adj.) (m.pl.),khimiyim,כימיים
anthem,himnon,המנון
the veterans / the seniors,havatikim,הוותיקים
the pilgrims,hatsalyanim,הצליינים
banks,bankim,בנקים
by miracle,benes,בנס
symmetrical,simetri,סימטרי
rectangular / oblong,malbeni,מלבני
being performed / is carried out (m.s.),mitbatse'a,מתבצע
loses (m.s.),me'abed,מאבד
than conventional,mehamekubal,מהמקובל
near her / next to her,leyada,לידה
detonated / exploded (m.s.),potsets,פוצץ
deep (m.pl.),amukim,עמוקים
intelligence,intiligentsia,אינטליגנציה
red (m.pl.),adumim,אדומים
a group of,khavurat,חבורת
by itself / as for himself,kshele'atsmo,כשלעצמו
the significant (m.s.),hamashma'uti,המשמעותי
the accepted / the conventional / the popular (m.pl.),hamekubalim,המקובלים
that/who can,hayakhol,היכול
can you?,hayakhol [ata],היכול
the renovation,hashiputs,השיפוץ
the fires,hasrefot,השריפות
pass / transfer,ha'avara,העברה
the sites,ha'atarim,האתרים
the expressions,habituyim,הביטויים
granite,granit,גרניט
in terms,bemunakhim,במונחים
in the terms,bamunakhim,במונחים
treated (m.s.),tipel,טיפל
arguments,ti'unim,טיעונים
listed / enrolled / written,reshumim,רשומים
hunters of,tsayadei,צידי
sides of,tsidei,צידי
word of,milat,מילת
being performed / is carried out (f.s.),mitbatsa'at,מתבצעת
is effected / is influenced,mushpa,מושפע
understood,muvenet,מובנת
built in (f.),muvnet,מובנת
professional (f.s.),miktso'it,מקצועית
strengthens (m.s.),mekhazek,מחזק
guide / instructor / trainer,madrikh,מדריך
my kitchen,mitbakhi,מטבחי
the kitchens of,mitbakhei,מטבחי
marked (f.s.),mesumenet,מסומנת
customs of,minhagei,מנהגי
meeting / Yeshiva (rabbinical college),yeshiva,ישיבה
for the study of,lelimudei,ללימודי
to/for the cells of,leta'ei,לתאי
to/for my cell,leta'i,לתאי
to a solution,lepitaron,לפתרון
to the solution,lapitaron,לפתרון
to the solution of,lefitron,לפתרון
his pupils / his students,talmidav,תלמידיו
and from them (m.),umehem,ומהם
and tunnels,uminharot,ומנהרות
and passed / and crossed / and went through (f.s.),ve'avra,ועברה
and an effect / and an influence,vehashpa'a,והשפעה
and in the years,uvashanim,ובשנים
and in years,uveshanim,ובשנים
and a miracle,venes,ונס
lives / dwells (f.s.),shokhenet,שוכנת
that/who were introduced / that were displayed / that were presented / that were exhibited (pl.),shehutsgu,שהוצגו
that/which many,sherabim,שרבים
that/who was elected / that/who was selected (m.s.),shenivkhar,שנבחר
literal meaning,kri,קרי
interpretation / commentary,parshanut,פרשנות
weak (f.pl.),khalashot,חלשות
general (m.pl.),klaliyim,כלליים
blue (f.s.),kkhula,כחולה
the plane / the surface / the platform,hamishtakh,המשטח
the subsistence / the livelihood,hamikhya,המחייה
the event,hame'ora,המאורע
became established / settled down / was based on (m.s.),hitbases,התבסס
his birth,huladeto,הולדתו
was assessed / was estimated / was valued,hu'arakh,הוערך
the skeleton / the framework,hasheled,השלד
that/who lives [in] (m.s.),hashokhen,השוכן
the existing / that exist (f.pl.),hakayamot,הקיימות
the pillars / the pages,ha'amudim,העמודים
God,ha'elohim,האלוהים
the freedom,hakhofesh,החופש
the sea of Galilee,hakineret,הכנרת
the education,hahaskala,ההשכלה
lectures,hartsa'ot,הרצאות
that stems from / that is derived from / that spouts,hanove'a,הנובע
sweeps / blows (nose),goref,גורף
in an introduction / at an entrance,be'mavo,במבוא
in the introduction / at the entrance,ba'mavo,במבוא
far away,bemerkhakim,במרחקים
in the relations of,beyakhasei,ביחסי
confusion,bilbul,בלבול
[in] materials,bekhomarim,בחומרים
[in] the materials,bakhomarim,בחומרים
in development,behitpatkhut,בהתפתחות
in the development,bahitpatkhut,בהתפתחות
his taste / its taste,ta'amo,טעמו
tested (pl.),ta'amu,טעמו
accessible / approachable,negishim,נגישים
the chapel of,kapelat,קפלת
to be called,lehikare,להיקרא
that/who established (m.s.),shehekim,שהקים
love of,ahavat,אהבת
in a concept,bemusag,במושג
in the concept,bamusag,במושג
and mostly,velarov,ולרוב
in the shape of / in the image of / as the character of,kidmut,כדמות
in a position of / in the position of,be'emdat,בעמדת
meanings,mashma'uyot,משמעויות
edition,mahadura,מהדורה
former / previous (m.pl),kodmim,קודמים
unified / homogenous / uniform,akhid,אחיד
the burial,hakvura,הקבורה
his seat,moshavo,מושבו
distorts (f.s.),me'avetet,מעוותת
distorted,me'uvetet,מעוותת
from the middle of,me'emtsa,מאמצע
ends (f.s.),mistayemet,מסתיימת
they will fight,yarivu,יריבו
